UID,Year,Make,Model,Trim,Option Codes,,Geography,,Start,End,,,,Cash Only (Before Tax),Cash Only (After Tax),Cash Rebate Dealer Contribution (Before Tax),Cash Rebate Dealer Contribution (After Tax),Note
ACU81484NL44895,2022,Acura,RDX,4WD SUV,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81484NS44895,2022,Acura,RDX,4WD SUV,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81484PE44895,2022,Acura,RDX,4WD SUV,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81488CAN44895,2022,Acura,RDX,Technology Package,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81488QC44895,2022,Acura,RDX,Technology Package,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81488NB44895,2022,Acura,RDX,Technology Package,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81488NL44895,2022,Acura,RDX,Technology Package,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81488NS44895,2022,Acura,RDX,Technology Package,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81488PE44895,2022,Acura,RDX,Technology Package,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81485CAN44895,2022,Acura,RDX,A-Spec,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81485QC44895,2022,Acura,RDX,A-Spec,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81485NB44895,2022,Acura,RDX,A-Spec,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81485NL44895,2022,Acura,RDX,A-Spec,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81485NS44895,2022,Acura,RDX,A-Spec,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81485PE44895,2022,Acura,RDX,A-Spec,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81486CAN44895,2022,Acura,RDX,A-Spec Platinum Elite,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81486QC44895,2022,Acura,RDX,A-Spec Platinum Elite,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81486NB44895,2022,Acura,RDX,A-Spec Platinum Elite,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81486NL44895,2022,Acura,RDX,A-Spec Platinum Elite,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81486NS44895,2022,Acura,RDX,A-Spec Platinum Elite,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81486PE44895,2022,Acura,RDX,A-Spec Platinum Elite,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81487CAN44895,2022,Acura,RDX,PMC,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU79420CAN44895,2022,Acura,MDX,4WD SUV,,,CAN,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79420QC44895,2022,Acura,MDX,4WD SUV,,,QC,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79420NB44895,2022,Acura,MDX,4WD SUV,,,NB,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79420NL44895,2022,Acura,MDX,4WD SUV,,,NL,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79420NS44895,2022,Acura,MDX,4WD SUV,,,NS,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79420PE44895,2022,Acura,MDX,4WD SUV,,,PE,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79423CAN44895,2022,Acura,MDX,Tech,,,CAN,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79423QC44895,2022,Acura,MDX,Tech,,,QC,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79423NB44895,2022,Acura,MDX,Tech,,,NB,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79423NL44895,2022,Acura,MDX,Tech,,,NL,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79423NS44895,2022,Acura,MDX,Tech,,,NS,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79423PE44895,2022,Acura,MDX,Tech,,,PE,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79421CAN44895,2022,Acura,MDX,A-Spec,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU79421QC44895,2022,Acura,MDX,A-Spec,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU79421NB44895,2022,Acura,MDX,A-Spec,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU79421NL44895,2022,Acura,MDX,A-Spec,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU79421NS44895,2022,Acura,MDX,A-Spec,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU79421PE44895,2022,Acura,MDX,A-Spec,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU79422CAN44895,2022,Acura,MDX,Platinum Elite,,,CAN,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79422QC44895,2022,Acura,MDX,Platinum Elite,,,QC,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79422NB44895,2022,Acura,MDX,Platinum Elite,,,NB,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79422NL44895,2022,Acura,MDX,Platinum Elite,,,NL,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79422NS44895,2022,Acura,MDX,Platinum Elite,,,NS,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU79422PE44895,2022,Acura,MDX,Platinum Elite,,,PE,,01-11-2022,30-11-2022,,,,0,1000,0,0,
ACU81760CAN44895,2022,Acura,MDX,Type S,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81761CAN44895,2022,Acura,MDX,Type S Ultra,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82552CAN44895,2023,Acura,MDX,4WD SUV,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82552QC44895,2023,Acura,MDX,4WD SUV,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82552NB44895,2023,Acura,MDX,4WD SUV,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82552NL44895,2023,Acura,MDX,4WD SUV,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82552NS44895,2023,Acura,MDX,4WD SUV,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82552PE44895,2023,Acura,MDX,4WD SUV,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82555CAN44895,2023,Acura,MDX,Tech,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82555QC44895,2023,Acura,MDX,Tech,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82555NB44895,2023,Acura,MDX,Tech,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82555NL44895,2023,Acura,MDX,Tech,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82555NS44895,2023,Acura,MDX,Tech,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82555PE44895,2023,Acura,MDX,Tech,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82553CAN44895,2023,Acura,MDX,A-SPEC,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82553QC44895,2023,Acura,MDX,A-SPEC,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82553NB44895,2023,Acura,MDX,A-SPEC,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82553NL44895,2023,Acura,MDX,A-SPEC,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82553NS44895,2023,Acura,MDX,A-SPEC,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82553PE44895,2023,Acura,MDX,A-SPEC,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82554CAN44895,2023,Acura,MDX,Platinum Elite,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82554QC44895,2023,Acura,MDX,Platinum Elite,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82554NB44895,2023,Acura,MDX,Platinum Elite,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82554NL44895,2023,Acura,MDX,Platinum Elite,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82554NS44895,2023,Acura,MDX,Platinum Elite,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82554PE44895,2023,Acura,MDX,Platinum Elite,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82556CAN44895,2023,Acura,MDX,Type S,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82557CAN44895,2023,Acura,MDX,Type S Ultra,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82130CAN44895,2023,Acura,Integra,CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82130QC44895,2023,Acura,Integra,CVT,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82130NB44895,2023,Acura,Integra,CVT,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82130NL44895,2023,Acura,Integra,CVT,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82130NS44895,2023,Acura,Integra,CVT,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82130PE44895,2023,Acura,Integra,CVT,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82129CAN44895,2023,Acura,Integra,A-Spec CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82129QC44895,2023,Acura,Integra,A-Spec CVT,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82129NB44895,2023,Acura,Integra,A-Spec CVT,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82129NL44895,2023,Acura,Integra,A-Spec CVT,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82129NS44895,2023,Acura,Integra,A-Spec CVT,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82129PE44895,2023,Acura,Integra,A-Spec CVT,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82132CAN44895,2023,Acura,Integra,Elite A-Spec CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82132QC44895,2023,Acura,Integra,Elite A-Spec CVT,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82132NB44895,2023,Acura,Integra,Elite A-Spec CVT,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82132NL44895,2023,Acura,Integra,Elite A-Spec CVT,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82132NS44895,2023,Acura,Integra,Elite A-Spec CVT,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82132PE44895,2023,Acura,Integra,Elite A-Spec CVT,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82131CAN44895,2023,Acura,Integra,Elite A-Spec 6-Speed Manual,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82131QC44895,2023,Acura,Integra,Elite A-Spec 6-Speed Manual,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82131NB44895,2023,Acura,Integra,Elite A-Spec 6-Speed Manual,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82131NL44895,2023,Acura,Integra,Elite A-Spec 6-Speed Manual,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82131NS44895,2023,Acura,Integra,Elite A-Spec 6-Speed Manual,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU82131PE44895,2023,Acura,Integra,Elite A-Spec 6-Speed Manual,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83687CAN44895,2023,Acura,RDX,A-Spec,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83687QC44895,2023,Acura,RDX,A-Spec,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83687NB44895,2023,Acura,RDX,A-Spec,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83687NL44895,2023,Acura,RDX,A-Spec,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83687NS44895,2023,Acura,RDX,A-Spec,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83687PE44895,2023,Acura,RDX,A-Spec,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83688CAN44895,2023,Acura,RDX,A-Spec Platinum Elite,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83688QC44895,2023,Acura,RDX,A-Spec Platinum Elite,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83688NB44895,2023,Acura,RDX,A-Spec Platinum Elite,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83688NL44895,2023,Acura,RDX,A-Spec Platinum Elite,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83688NS44895,2023,Acura,RDX,A-Spec Platinum Elite,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU83688PE44895,2023,Acura,RDX,A-Spec Platinum Elite,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF78384CAN44895,2021,Alfa Romeo,Giulia,Sprint All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF78385CAN44895,2021,Alfa Romeo,Giulia,Ti All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF78386CAN44895,2021,Alfa Romeo,Giulia,Ti Sport All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF78383CAN44895,2021,Alfa Romeo,Giulia,Quadrifoglio,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF78388CAN44895,2021,Alfa Romeo,Stelvio,Sprint All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF78389CAN44895,2021,Alfa Romeo,Stelvio,TI All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF78390CAN44895,2021,Alfa Romeo,Stelvio,TI Sport All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF78387CAN44895,2021,Alfa Romeo,Stelvio,Quadrifoglio All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,1500,0,0,
ALF80120CAN44895,2022,Alfa Romeo,Giulia,Sprint All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF80121CAN44895,2022,Alfa Romeo,Giulia,Ti All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF80122CAN44895,2022,Alfa Romeo,Giulia,Ti Veloce All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF80119CAN44895,2022,Alfa Romeo,Giulia,Quadrifoglio,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF80124CAN44895,2022,Alfa Romeo,Stelvio,Sprint All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF80125CAN44895,2022,Alfa Romeo,Stelvio,TI All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF80126CAN44895,2022,Alfa Romeo,Stelvio,TI Veloce All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF80123CAN44895,2022,Alfa Romeo,Stelvio,Quadrifoglio All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82058CAN44895,2023,Alfa Romeo,Giulia,Sprint All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82059CAN44895,2023,Alfa Romeo,Giulia,Ti All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82060CAN44895,2023,Alfa Romeo,Giulia,Ti Estrema All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82061CAN44895,2023,Alfa Romeo,Giulia,Ti Veloce All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82057CAN44895,2023,Alfa Romeo,Giulia,Quadrifoglio,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82063CAN44895,2023,Alfa Romeo,Stelvio,Sprint All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82064CAN44895,2023,Alfa Romeo,Stelvio,TI All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82065CAN44895,2023,Alfa Romeo,Stelvio,TI Estrema All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82066CAN44895,2023,Alfa Romeo,Stelvio,TI Veloce All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ALF82062CAN44895,2023,Alfa Romeo,Stelvio,Quadrifoglio All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80869CAN44895,2022,Audi,A3,45 TFSI Quattro Komfort S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80870CAN44895,2022,Audi,A3,45 TFSI Quattro Progressiv S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80871CAN44895,2022,Audi,A3,45 TFSI Quattro Technik S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80877CAN44895,2022,Audi,S3,TFSI Quattro Komfort S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80878CAN44895,2022,Audi,S3,TFSI Quattro Progressiv S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80879CAN44895,2022,Audi,S3,TFSI Quattro Technik S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80247CAN44895,2022,Audi,A4,40 TFSI Quattro Komfort S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80248CAN44895,2022,Audi,A4,45 TFSI Quattro Komfort S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80249CAN44895,2022,Audi,A4,45 TFSI Quattro Progressiv S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80250CAN44895,2022,Audi,A4,45 TFSI Quattro Technik S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80303CAN44895,2022,Audi,S4,TFSI Quattro Progressiv,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80304CAN44895,2022,Audi,S4,TFSI Quattro Technik,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80251CAN44895,2022,Audi,A4 allroad,45 TFSI Quattro Komfort S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80252CAN44895,2022,Audi,A4 allroad,45 TFSI Quattro Progressiv S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80253CAN44895,2022,Audi,A4 allroad,45 TFSI Quattro Technik S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80254CAN44895,2022,Audi,A5,45 TFSI Quattro Progressiv S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80256CAN44895,2022,Audi,A5,45 TFSI Quattro Technik S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80305CAN44895,2022,Audi,S5,TFSI Quattro Progressiv Tiptronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80307CAN44895,2022,Audi,S5,TFSI Quattro Technik Tiptronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80298CAN44895,2022,Audi,RS5,4WD Coupe,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80255CAN44895,2022,Audi,A5,45 TFSI Quattro Progressiv S tronic Cab,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80257CAN44895,2022,Audi,A5,45 TFSI Quattro Technik S tronic Cabrio,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80306CAN44895,2022,Audi,S5,TFSI Quattro Progressiv Tiptronic Cabrio,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80308CAN44895,2022,Audi,S5,TFSI Quattro Technik Tiptronic Cabrio,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
AUD80258CAN44895,2022,Audi,A5 Sportback,45 TFSI Quattro Komfort S tronic,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
